lat,long,area,name
1.4344,103.8338,Yishun,Yishun Primary School
1.4335,103.8367,Yishun,Xishan Primary School
1.4173,103.8306,Yishun,Peiying Primary School
1.4209,103.8411,Yishun,Northland Primary School
1.4283,103.8486,Yishun,North View Primary School
1.4164,103.8395,Yishun,Naval Base Primary School
1.4272,103.8299,Yishun,Jiemin Primary School
1.4267,103.8432,Yishun,Huamin Primary School
1.4387,103.8401,Yishun,Chongfu School
1.4333,103.8321,Yishun,Ahmad Ibrahim Primary School
1.4351,103.798,Woodlands,Woodlands Ring Primary School
1.4363,103.7916,Woodlands,Woodlands Primary School
1.4325,103.7904,Woodlands,Woodgrove Primary School
1.4325,103.7863,Woodlands,Si Ling Primary School
1.4469,103.8023,Woodlands,Riverside Primary School
1.4426,103.7889,Woodlands,Qihua Primary School
1.4345,103.7725,Woodlands,Marsiling Primary School
1.4292,103.7898,Woodlands,Innova Primary School
1.4404,103.8042,Woodlands,Greenwood Primary School
1.4293,103.7781,Woodlands,Fuchun Primary School
1.4442,103.7943,Woodlands,Evergreen Primary School
1.4427,103.7995,Woodlands,Admiralty Primary School
1.3316,103.8658,Toa Payoh,St Andrew's Junior School
1.3332,103.8581,Toa Payoh,Pei Chun Public School
1.3407,103.8393,Toa Payoh,Marymount Convent School
1.3401,103.8781,Toa Payoh,Maris Stella High School (Primary Section)
1.3374,103.8481,Toa Payoh,Kheng Cheng School
1.3399,103.8562,Toa Payoh,First Toa Payoh Primary School
1.3334,103.8433,Toa Payoh,CHIJ Primary (Toa Payoh)
1.335,103.8755,Toa Payoh,Cedar Primary School
1.3515,103.9515,Tampines,Yumin Primary School
1.3494,103.9452,Tampines,Tampines Primary School
1.36,103.9488,Tampines,Tampines North Primary School
1.3493,103.9356,Tampines,St Hilda's Primary School
1.3585,103.9356,Tampines,Poi Ching School
1.3483,103.9393,Tampines,Junyuan Primary School
1.3574,103.9502,Tampines,Gongshang Primary School
1.3537,103.9619,Tampines,East Spring Primary School
1.351,103.9517,Tampines,Chongzheng Primary School
1.3406,103.9517,Tampines,Changkat Primary School
1.3482,103.9512,Tampines,Angsana Primary School
1.3589,103.8711,Serangoon,Zhonghua Primary School
1.3493,103.8683,Serangoon,Yangzheng Primary School
1.3502,103.8614,Serangoon,St Gabriel's Primary School
1.3723,103.8748,Serangoon,Rosyth School
1.3578,103.8634,Serangoon,CHIJ Our Lady of Good Counsel
1.3955,103.8895,Sengkang,Springdale Primary School
1.3928,103.8757,Sengkang,Sengkang Green Primary School
1.39,103.8999,Sengkang,Seng Kang Primary School
1.3932,103.9041,Sengkang,Rivervale Primary School
1.3836,103.8908,Sengkang,Palm View Primary School
1.383,103.8952,Sengkang,North Vista Primary School
1.3877,103.9043,Sengkang,North Spring Primary School
1.3924,103.89,Sengkang,Nan Chiau Primary School
1.3898,103.8735,Sengkang,Fernvale Primary School
1.397574402,103.8798637,Sengkang,Fern Green Primary School
1.3951,103.8981,Sengkang,Compassvale Primary School
1.3913,103.8863,Sengkang,Anchor Green Primary School
1.4521,103.8219,Sembawang,Wellington Primary School
1.4447,103.8203,Sembawang,Sembawang Primary School
1.4566,103.8146,Sembawang,Northoaks Primary School
1.4549,103.8174,Sembawang,Endeavour Primary School
1.4514,103.8148,Sembawang,Canberra Primary School
1.3044,103.8462,Rochor,St Margaret's Primary School
1.2969,103.8081,Queenstown,Queenstown Primary School
1.3,103.7989,Queenstown,New Town Primary School
1.3990541,103.9184708,Punggol,Waterway Primary School
1.406766462,103.8997882,Punggol,Valour Primary School
1.406,103.9048,Punggol,Punggol View Primary School
1.4018,103.8992,Punggol,Punggol Green Primary School
1.4122254,103.8985828,Punggol,Punggol Cove Primary School
1.4047712,103.8759471,Punggol,Oasis Primary School
1.419298337,103.9060851,Punggol,Northshore Primary School
1.3954,103.9088,Punggol,Mee Toh School
1.3993,103.9138,Punggol,Horizon Primary School
1.3967,103.912,Punggol,Greendale Primary School
1.3999,103.9083,Punggol,Edgefield Primary School
1.3645,103.9615,Pasir Ris,White Sands Primary School
1.3722,103.9623,Pasir Ris,Pasir Ris Primary School
1.3783,103.9387,Pasir Ris,Park View Primary School
1.3767,103.9356,Pasir Ris,Meridian Primary School
1.3745,103.9458,Pasir Ris,Elias Park Primary School
1.3722,103.9574,Pasir Ris,Casuarina Primary School
1.3173,103.8452,Novena,St Joseph's Institution Junior
1.3207,103.8269,Novena,Singapore Chinese Girls' Primary School
1.3182,103.8357,Novena,Anglo-Chinese School (Primary)
1.3053,103.9119,Marine Parade,Tao Nan School
1.3056,103.8998,Marine Parade,Tanjong Katong Primary School
1.3054,103.9171,Marine Parade,Ngee Ann Primary School
1.3212,103.8572,Kallang,Hong Wen School
1.3119,103.8511,Kallang,Farrer Park Primary School
1.3215,103.8657,Kallang,Bendemeer Primary School
1.3422,103.6877,Jurong West,Xingnan Primary School
1.3481,103.7006,Jurong West,Westwood Primary School
1.3451,103.6996,Jurong West,West Grove Primary School
1.3477,103.7206,Jurong West,Shuqun Primary School
1.346,103.719,Jurong West,Rulang Primary School
1.3383,103.7171,Jurong West,Lakeside Primary School
1.3388,103.6985,Jurong West,Jurong West Primary School
1.3371,103.6989,Jurong West,Frontier Primary School
1.3507,103.7076,Jurong West,Corporation Primary School
1.3433,103.7135,Jurong West,Boon Lay Garden Primary School
1.3434,103.7409,Jurong East,Yuhua Primary School
1.348,103.7328,Jurong East,Jurong Primary School
1.3359,103.7367,Jurong East,Fuhua Primary School
1.3772,103.8856,Hougang,Yio Chu Kang Primary School
1.3708,103.8828,Hougang,Xinmin Primary School
1.3581,103.8896,Hougang,Xinghua Primary School
1.3782,103.8939,Hougang,Punggol Primary School
1.3512,103.8847,Hougang,Paya Lebar Methodist Girls' School (Primary)
1.3735,103.8881,Hougang,Montfort Junior School
1.3781,103.8815,Hougang,Hougang Primary School
1.376,103.8573,Hougang,Holy Innocents' Primary School
1.3728,103.8982,Hougang,CHIJ Our Lady of the Nativity
1.329,103.9014,Geylang,Maha Bodhi School
1.3115,103.8877,Geylang,Kong Hwa School
1.3112,103.9036,Geylang,Haig Girls' School
1.3177,103.8844,Geylang,Geylang Methodist School (Primary)
1.3261,103.8828,Geylang,Canossa Catholic Primary School
1.3002,103.7847,Dover,Fairfield Methodist School (Primary)
1.3119,103.7564,Clementi,Qifa Primary School
1.3168,103.7678,Clementi,Pei Tong Primary School
1.3201,103.7612,Clementi,Nan Hua Primary School
1.3163,103.7635,Clementi,Clementi Primary School
1.3968,103.7502,Chua Chu Kang,Yew Tee Primary School
1.4028,103.7474,Chua Chu Kang,Unity Primary School
1.3834,103.7546,Chua Chu Kang,Teck Whye Primary School
1.3812,103.7466,Chua Chu Kang,South View Primary School
1.3941,103.748,Chua Chu Kang,Kranji Primary School
1.394,103.7439,Chua Chu Kang,De La Salle School
1.3806,103.7366,Chua Chu Kang,Concord Primary School
