Column1,lat,long,address,closestMRTStation,distToMRTStation,timeToMRTStation,MRTStationsIn10km
0,1.362004539,103.8538799,ANG MO KIO AVE 10 406,Ang Mo Kio,1.121,13.46666667,78
1,1.367890048,103.8475991,ANG MO KIO AVE 3 323,Ang Mo Kio,0.461,5.533333333,72
2,1.366227071,103.8500859,ANG MO KIO AVE 3 314,Ang Mo Kio,0.505,6.066666667,74
3,1.374000718,103.8364315,ANG MO KIO AVE 4 170,Yio Chu Kang,1.654,19.85,54
4,1.367396128,103.83815,ANG MO KIO AVE 1 225,Ang Mo Kio,1.652,19.81666667,60
5,1.364611946,103.8448513,ANG MO KIO AVE 1 310C,Ang Mo Kio,1.191,14.3,73
6,1.365110234,103.847379,ANG MO KIO AVE 1 319,Ang Mo Kio,0.913,10.95,75
7,1.365588336,103.8405189,ANG MO KIO AVE 1 220,Ang Mo Kio,1.436,17.23333333,69
8,1.365697619,103.858942,ANG MO KIO AVE 10 457,Ang Mo Kio,1.473,17.66666667,74
9,1.373922387,103.8556214,ANG MO KIO AVE 10 541,Ang Mo Kio,1.208,14.48333333,65
10,1.36716072,103.8586585,ANG MO KIO AVE 10 456,Ang Mo Kio,1.299,15.58333333,74
11,1.365346697,103.8541518,ANG MO KIO AVE 10 419,Ang Mo Kio,0.861,10.33333333,76
12,1.366728758,103.8569214,ANG MO KIO AVE 10 464,Ang Mo Kio,1.167,14,75
13,1.362757847,103.8580153,ANG MO KIO AVE 10 474,Ang Mo Kio,1.455,17.46666667,78
14,1.364946014,103.8540434,ANG MO KIO AVE 10 418,Ang Mo Kio,0.883,10.6,77
15,1.372032358,103.8576254,ANG MO KIO AVE 10 556,Ang Mo Kio,1.235,14.81666667,69
16,1.366955586,103.8580313,ANG MO KIO AVE 10 462,Ang Mo Kio,1.255,15.05,74
17,1.370816268,103.8591923,ANG MO KIO AVE 10 560,Ang Mo Kio,1.31,15.71666667,72
18,1.364959533,103.8551971,ANG MO KIO AVE 10 417,Ang Mo Kio,0.984,11.81666667,77
19,1.369196966,103.8416666,ANG MO KIO AVE 3 211,Ang Mo Kio,1.076,12.91666667,65
20,1.367769472,103.8412554,ANG MO KIO AVE 3 213,Ang Mo Kio,1.276,15.3,67
21,1.368803594,103.8416181,ANG MO KIO AVE 3 212,Ang Mo Kio,1.12,13.43333333,66
22,1.367095869,103.8496623,ANG MO KIO AVE 3 346,Ang Mo Kio,0.44,5.283333333,72
23,1.368346068,103.837196,ANG MO KIO AVE 3 232,Ang Mo Kio,1.693,20.31666667,59
24,1.368750415,103.8379934,ANG MO KIO AVE 3 230,Ang Mo Kio,1.598,19.16666667,58
25,1.370047397,103.8445948,ANG MO KIO AVE 3 120,Ang Mo Kio,0.774,9.283333333,71
26,1.369743586,103.8560231,ANG MO KIO AVE 3 570,Ang Mo Kio,0.81,9.716666667,71
27,1.371016578,103.8393048,ANG MO KIO AVE 3 103,Ang Mo Kio,1.392,16.7,61
28,1.366649726,103.8501337,ANG MO KIO AVE 3 313,Ang Mo Kio,0.452,5.433333333,73
29,1.370597561,103.852367,ANG MO KIO AVE 3 585,Ang Mo Kio,0.474,5.7,69
30,1.369705635,103.843516,ANG MO KIO AVE 3 121,Ang Mo Kio,0.841,10.08333333,68
31,1.367421117,103.8459036,ANG MO KIO AVE 3 301,Ang Mo Kio,0.666,8,76
32,1.373548539,103.8381765,ANG MO KIO AVE 4 163,Yio Chu Kang,1.559,18.71666667,57
33,1.380467587,103.8388167,ANG MO KIO AVE 4 607,Yio Chu Kang,1.047,12.56666667,48
34,1.37045937,103.8374193,ANG MO KIO AVE 4 110,Ang Mo Kio,1.651,19.8,59
35,1.380541389,103.8410683,ANG MO KIO AVE 4 630,Yio Chu Kang,0.675,8.1,53
36,1.374694232,103.8364629,ANG MO KIO AVE 4 172,Yio Chu Kang,1.612,19.35,53
37,1.375877238,103.8400675,ANG MO KIO AVE 4 155,Yio Chu Kang,1.198,14.36666667,57
38,1.370615176,103.8359677,ANG MO KIO AVE 4 256,Ang Mo Kio,1.789,21.46666667,56
39,1.37992682,103.8414324,ANG MO KIO AVE 4 632,Yio Chu Kang,0.658,7.9,55
40,1.376711053,103.8411682,ANG MO KIO AVE 5 151,Yio Chu Kang,1.017,12.21666667,44
41,1.376793099,103.8371422,ANG MO KIO AVE 5 181,Yio Chu Kang,1.362,16.35,52
42,1.38020079,103.8357557,ANG MO KIO AVE 5 603,Yio Chu Kang,1.56,18.71666667,46
43,1.378292052,103.8372519,ANG MO KIO AVE 5 611,Yio Chu Kang,1.256,15.06666667,48
44,1.375593367,103.8533478,ANG MO KIO AVE 5 538,Ang Mo Kio,1.182,14.18333333,63
45,1.376687626,103.8401595,ANG MO KIO AVE 5 152,Yio Chu Kang,1.099,13.2,57
46,1.370888391,103.8447645,ANG MO KIO AVE 6 124,Ang Mo Kio,0.794,9.516666667,69
47,1.372736969,103.8501949,ANG MO KIO AVE 8 513,Ang Mo Kio,0.476,5.716666667,67
48,1.374825895,103.8489561,ANG MO KIO AVE 8 504,Ang Mo Kio,0.608,7.3,67
49,1.382198677,103.8412115,ANG MO KIO AVE 9 625,Yio Chu Kang,0.73,8.766666667,49
50,1.36583937,103.8446308,ANG MO KIO AVE 1 307B,Ang Mo Kio,1.021,12.25,73
51,1.363195557,103.851616,ANG MO KIO AVE 1 337,Ang Mo Kio,0.945,11.35,77
52,1.365391066,103.8568036,ANG MO KIO AVE 10 467,Ang Mo Kio,1.248,14.96666667,77
53,1.364453356,103.8536552,ANG MO KIO AVE 10 415,Ang Mo Kio,0.873,10.46666667,77
54,1.366970817,103.8539066,ANG MO KIO AVE 10 438,Ang Mo Kio,0.801,9.6,76
55,1.367341586,103.8540411,ANG MO KIO AVE 10 436,Ang Mo Kio,0.778,9.333333333,74
56,1.368939065,103.8544123,ANG MO KIO AVE 3 428,Ang Mo Kio,0.696,8.35,72
57,1.370832028,103.843547,ANG MO KIO AVE 3 128,Ang Mo Kio,0.973,11.66666667,65
58,1.367069338,103.8479025,ANG MO KIO AVE 3 326,Ang Mo Kio,0.774,9.3,70
59,1.366599083,103.8468744,ANG MO KIO AVE 3 329,Ang Mo Kio,0.764,9.166666667,70
60,1.378907914,103.8386027,ANG MO KIO AVE 4 612,Yio Chu Kang,1.086,13.03333333,49
61,1.373295936,103.8354757,ANG MO KIO AVE 4 118,Yio Chu Kang,1.891,22.7,52
62,1.371785181,103.8359657,ANG MO KIO AVE 4 113,Yio Chu Kang,1.852,22.21666667,56
63,1.3785821,103.8367603,ANG MO KIO AVE 5 608,Yio Chu Kang,1.284,15.4,46
64,1.374169237,103.8530019,ANG MO KIO AVE 5 533,Ang Mo Kio,1.031,12.38333333,65
65,1.376260674,103.841231,ANG MO KIO AVE 5 154,Yio Chu Kang,1.068,12.81666667,58
66,1.381582081,103.8432735,ANG MO KIO AVE 6 634,Yio Chu Kang,0.277,3.316666667,56
67,1.369410495,103.8460598,ANG MO KIO AVE 6 700B,Ang Mo Kio,0.567,6.8,71
68,1.369289348,103.8341319,ANG MO KIO ST 21 260A,Ang Mo Kio,2.049,24.58333333,54
69,1.364765986,103.8469079,ANG MO KIO ST 31 316A,Ang Mo Kio,0.992,11.9,75
70,1.364424744,103.850864,ANG MO KIO ST 32 352,Ang Mo Kio,0.88,10.56666667,75
71,1.368564848,103.8579431,ANG MO KIO ST 44 455C,Ang Mo Kio,1.118,13.41666667,73
72,1.368330179,103.8584957,ANG MO KIO ST 44 455B,Ang Mo Kio,1.176,14.11666667,72
73,1.371186426,103.8529803,ANG MO KIO ST 51 590B,Ang Mo Kio,0.547,6.566666667,69
74,1.370933241,103.8519408,ANG MO KIO ST 51 591A,Ang Mo Kio,0.459,5.5,69
75,1.371221785,103.8538532,ANG MO KIO ST 51 590A,Ang Mo Kio,0.691,8.283333333,67
76,1.371754007,103.8538833,ANG MO KIO ST 52 588D,Ang Mo Kio,0.781,9.383333333,66
77,1.365725522,103.8457506,ANG MO KIO AVE 1 306,Ang Mo Kio,1.063,12.76666667,73
78,1.361477078,103.8553004,ANG MO KIO AVE 10 402,Ang Mo Kio,1.298,15.58333333,77
79,1.368581482,103.8315578,ANG MO KIO AVE 2 259,Ang Mo Kio,2.378,28.55,52
80,1.375848226,103.8361572,ANG MO KIO AVE 4 176,Yio Chu Kang,1.579,18.93333333,53
81,1.37795244,103.8384469,ANG MO KIO AVE 4 618,Yio Chu Kang,1.24,14.88333333,50
82,1.373405406,103.8511342,ANG MO KIO AVE 5 520,Ang Mo Kio,0.658,7.9,65
83,1.369441594,103.8464882,ANG MO KIO AVE 6 700C,Ang Mo Kio,0.519,6.216666667,71
84,1.371096498,103.8462315,ANG MO KIO AVE 6 714,Ang Mo Kio,0.605,7.25,71
