,lat,long,address,closestMRTStation,distToMRTStation,timeToMRTStation,MRTStationsIn10km
0,1.362004539,103.8538799,ANG MO KIO AVE 10 406,Ang Mo Kio,1.121,13.466666666666667,78
1,1.367890048,103.8475991,ANG MO KIO AVE 3 323,Ang Mo Kio,0.461,5.533333333333333,72
2,1.366227071,103.8500859,ANG MO KIO AVE 3 314,Ang Mo Kio,0.505,6.066666666666666,74
3,1.374000718,103.8364315,ANG MO KIO AVE 4 170,Yio Chu Kang,1.654,19.85,54
4,1.367396128,103.83815,ANG MO KIO AVE 1 225,Ang Mo Kio,1.652,19.816666666666666,60
5,1.364611946,103.8448513,ANG MO KIO AVE 1 310C,Ang Mo Kio,1.191,14.3,73
6,1.365110234,103.847379,ANG MO KIO AVE 1 319,Ang Mo Kio,0.913,10.95,75
7,1.365588336,103.8405189,ANG MO KIO AVE 1 220,Ang Mo Kio,1.436,17.233333333333334,69
8,1.365697619,103.858942,ANG MO KIO AVE 10 457,Ang Mo Kio,1.473,17.666666666666668,74
9,1.373922387,103.8556214,ANG MO KIO AVE 10 541,Ang Mo Kio,1.208,14.483333333333333,65
10,1.36716072,103.8586585,ANG MO KIO AVE 10 456,Ang Mo Kio,1.299,15.583333333333334,74
11,1.365346697,103.8541518,ANG MO KIO AVE 10 419,Ang Mo Kio,0.861,10.333333333333334,76
12,1.366728758,103.8569214,ANG MO KIO AVE 10 464,Ang Mo Kio,1.167,14,75
13,1.362757847,103.8580153,ANG MO KIO AVE 10 474,Ang Mo Kio,1.455,17.466666666666665,78
14,1.364946014,103.8540434,ANG MO KIO AVE 10 418,Ang Mo Kio,0.883,10.6,77
15,1.372032358,103.8576254,ANG MO KIO AVE 10 556,Ang Mo Kio,1.235,14.816666666666666,69
16,1.366955586,103.8580313,ANG MO KIO AVE 10 462,Ang Mo Kio,1.255,15.05,74
17,1.370816268,103.8591923,ANG MO KIO AVE 10 560,Ang Mo Kio,1.31,15.716666666666667,72
18,1.364959533,103.8551971,ANG MO KIO AVE 10 417,Ang Mo Kio,0.984,11.816666666666666,77
19,1.369196966,103.8416666,ANG MO KIO AVE 3 211,Ang Mo Kio,1.076,12.916666666666666,65
20,1.367769472,103.8412554,ANG MO KIO AVE 3 213,Ang Mo Kio,1.276,15.3,67
21,1.368803594,103.8416181,ANG MO KIO AVE 3 212,Ang Mo Kio,1.12,13.433333333333334,66
22,1.367095869,103.8496623,ANG MO KIO AVE 3 346,Ang Mo Kio,0.44,5.283333333333333,72
23,1.368346068,103.837196,ANG MO KIO AVE 3 232,Ang Mo Kio,1.693,20.316666666666666,59
24,1.368750415,103.8379934,ANG MO KIO AVE 3 230,Ang Mo Kio,1.598,19.166666666666668,58
25,1.370047397,103.8445948,ANG MO KIO AVE 3 120,Ang Mo Kio,0.774,9.283333333333333,71
26,1.369743586,103.8560231,ANG MO KIO AVE 3 570,Ang Mo Kio,0.81,9.716666666666667,71
27,1.371016578,103.8393048,ANG MO KIO AVE 3 103,Ang Mo Kio,1.392,16.7,61
28,1.366649726,103.8501337,ANG MO KIO AVE 3 313,Ang Mo Kio,0.452,5.433333333333334,73
29,1.370597561,103.852367,ANG MO KIO AVE 3 585,Ang Mo Kio,0.474,5.7,69
30,1.369705635,103.843516,ANG MO KIO AVE 3 121,Ang Mo Kio,0.841,10.083333333333334,68
31,1.367421117,103.8459036,ANG MO KIO AVE 3 301,Ang Mo Kio,0.666,8,76
32,1.373548539,103.8381765,ANG MO KIO AVE 4 163,Yio Chu Kang,1.559,18.716666666666665,57
33,1.380467587,103.8388167,ANG MO KIO AVE 4 607,Yio Chu Kang,1.047,12.566666666666666,48
