,mallName,lat,long
0,100 AM,1.27458821795426,103.84347073661
1,313@Somerset,1.30101436404056,103.838360664485
2,Aperia,1.31086672816827,103.863929573292
3,Balestier Hill Shopping Centre,1.32559594839311,103.842571612968
4,Bugis Cube,1.2981408343975,103.855635339249
5,Bugis Junction,1.2991371723215,103.855450325604
6,Bugis+,1.30095171530648,103.855172625542
7,Capitol Piazza,1.29307884763132,103.851261982149
8,Cathay Cineleisure Orchard,1.30149264852924,103.836406753067
10,The Centrepoint,1.30197836876806,103.839759023144
11,City Square Mall,1.31135169933195,103.856724057693
13,CityLink Mall,1.2927777312893,103.854173501417
14,Duo,1.29953434891664,103.85840168774
15,Far East Plaza,1.30717698071189,103.833792932243
16,Funan,1.29134759697794,103.849989790085
17,Great World City,1.2934759620704,103.831975865363
18,HDB Hub,1.33201387005935,103.84984949662
20,ION Orchard,1.30397974144505,103.832032328465
21,Junction 8,1.3501820033849,103.848515664081
22,Knightsbridge,1.3029831225958,103.836283923443
23,Liat Towers,1.30508722710852,103.830722581168
24,Lucky Plaza,1.30448579105197,103.833941935117
25,Marina Bay Sands,1.28346618479588,103.860603437294
26,The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297
27,Marina Bay Link Mall,1.28019533269189,103.854207695749
28,Marina Square,1.29098168416984,103.857647591675
29,Millenia Walk,1.29267926922552,103.860302888543
31,Ngee Ann City,1.3022727300848,103.834899517575
32,One Holland Village,1.3123621720005,103.793301226982
33,Orchard Central,1.30083890839245,103.839434733899
34,Orchard Gateway,1.30160116957544,103.838868886519
35,Orchard Plaza,1.30125729409965,103.841150144584
36,Midpoint Orchard,1.30177313264942,103.838659652851
37,Palais Renaissance,1.30665484543191,103.829588045188
38,People's Park Centre,1.28580583517057,103.844032214205
39,People's Park Complex,1.28404487854559,103.842590753293
40,Plaza Singapura,1.30083413030923,103.845072743164
42,Raffles City,1.29408304748297,103.853339531257
43,Scotts Square,1.30585582603508,103.832984356543
45,Sim Lim Square,1.30290658774258,103.853031869482
46,Singapore Shopping Centre,1.28649701803051,103.844628721032
47,The South Beach,1.29498804392056,103.856276242094
48,Square 2,1.27822949964567,103.850812513482
49,Sunshine Plaza,1.30046735366415,103.850556061949
